# refresh_posture_target=True,arm_posture_cost=0.001,"arm_posture_cost_overrides={'left_arm_joint7': 0.003, 'right_arm_joint7': 0.003}",ee_position_cost=1.0,ee_orientation_cost=0.5,redundancy_resolution=dls_projector,dls_damping=0.05,hard_constraint_extra_damping=0.001
t,left_q0,left_q1,left_q2,left_q3,left_q4,left_q5,left_q6,right_q0,right_q1,right_q2,right_q3,right_q4,right_q5,right_q6,left_target_ee_0,left_target_ee_1,left_target_ee_2,left_target_ee_3,left_target_ee_4,left_target_ee_5,left_target_ee_6,right_target_ee_0,right_target_ee_1,right_target_ee_2,right_target_ee_3,right_target_ee_4,right_target_ee_5,right_target_ee_6,left_actual_ee_0,left_actual_ee_1,left_actual_ee_2,left_actual_ee_3,left_actual_ee_4,left_actual_ee_5,left_actual_ee_6,right_actual_ee_0,right_actual_ee_1,right_actual_ee_2,right_actual_ee_3,right_actual_ee_4,right_actual_ee_5,right_actual_ee_6,lift_q,base_x,base_y,base_yaw,iters,solved
0.007156246003432898,0.060000,1.061000,-1.303000,1.400000,-0.173000,0.352000,0.040000,-0.001000,1.325000,1.707000,1.319000,-0.007000,0.003000,0.007000,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,0.451034,0.000000,0.000000,0.000000,1,True
0.0362382660023286,0.060000,1.061000,-1.303000,1.400000,-0.173000,0.352000,0.040000,-0.001000,1.325000,1.707000,1.319000,-0.007000,0.003000,0.007000,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,0.451034,0.000000,0.000000,0.000000,1,True
0.0700835610005015,0.060000,1.061000,-1.303000,1.400000,-0.173000,0.352000,0.040000,-0.001000,1.325000,1.707000,1.319000,-0.007000,0.003000,0.007000,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,0.451034,0.000000,0.000000,0.000000,1,True
0.10305397000047378,0.060000,1.061000,-1.303000,1.400000,-0.173000,0.352000,0.040000,-0.001000,1.325000,1.707000,1.319000,-0.007000,0.003000,0.007000,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,0.451034,0.000000,0.000000,0.000000,1,True
0.1367897650015948,0.060000,1.061000,-1.303000,1.400000,-0.173000,0.352000,0.040000,-0.001000,1.325000,1.707000,1.319000,-0.007000,0.003000,0.007000,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,0.451034,0.000000,0.000000,0.000000,1,True
0.16984937800225453,0.060000,1.061000,-1.303000,1.400000,-0.173000,0.352000,0.040000,-0.001000,1.325000,1.707000,1.319000,-0.007000,0.003000,0.007000,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,0.451034,0.000000,0.000000,0.000000,1,True
0.2036928950001311,0.060000,1.061000,-1.303000,1.400000,-0.173000,0.352000,0.040000,-0.001000,1.325000,1.707000,1.319000,-0.007000,0.003000,0.007000,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,0.451034,0.000000,0.000000,0.000000,1,True
0.23787855900081922,0.060000,1.061000,-1.303000,1.400000,-0.173000,0.352000,0.040000,-0.001000,1.325000,1.707000,1.319000,-0.007000,0.003000,0.007000,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,0.451034,0.000000,0.000000,0.000000,1,True
0.2705191180029942,0.060000,1.061000,-1.303000,1.400000,-0.173000,0.352000,0.040000,-0.001000,1.325000,1.707000,1.319000,-0.007000,0.003000,0.007000,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,0.451034,0.000000,0.000000,0.000000,1,True
0.3044297460000962,0.060000,1.061000,-1.303000,1.400000,-0.173000,0.352000,0.040000,-0.001000,1.325000,1.707000,1.319000,-0.007000,0.003000,0.007000,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,-0.025714,0.828561,0.117205,-0.546889,0.355117,-0.231515,0.607620,0.136881,-0.613099,-0.023726,0.777695,-0.370823,-0.254464,0.608713,0.451034,0.000000,0.000000,0.000000,1,True
